time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-25 00:00:00+00:00,19,16,112,19
2026-08-26 00:00:00+00:00,66,29,85,18
2026-08-27 00:00:00+00:00,38,19,71,11
2026-08-28 00:00:00+00:00,24,15,32,12
2026-08-29 00:00:00+00:00,27,23,79,23
2026-08-30 00:00:00+00:00,37,30,85,30
2026-08-31 00:00:00+00:00,44,32,95,24
2026-09-01 00:00:00+00:00,14,9,58,14
2026-09-02 00:00:00+00:00,11,10,36,12
2026-09-03 00:00:00+00:00,6,6,61,19
2026-09-04 00:00:00+00:00,46,25,79,19
2026-09-05 00:00:00+00:00,142,63,96,17
2026-09-06 00:00:00+00:00,87,38,133,54
2026-09-07 00:00:00+00:00,48,24,177,47
